iteration,group_size,partitions,total_updates,avg_updates_per_member,distinct_updaters,conflicts_after_merge,first_secrets,first_crypto,first_bytes,first_ms,recovery_steps,recovery_secrets,recovery_crypto,recovery_bytes,recovery_ms
6,64,4,32,0.500000,32,33,34,629,6364,4.231343,26,315,2078,85856,18.751316
6,64,4,48,0.750000,48,47,48,733,8076,5.166355,40,347,2436,115528,22.138281
6,64,4,64,1.000000,64,63,63,841,9940,6.082546,54,585,3618,169984,33.883156
6,64,4,80,1.250000,64,63,63,889,9940,6.448369,56,597,3740,174968,34.997926
6,64,4,96,1.500000,64,63,63,937,9940,6.718798,56,597,3788,174968,35.327443
6,64,4,112,1.750000,64,63,63,985,9940,7.118271,56,597,3836,174968,35.699157
6,64,4,128,2.000000,64,63,63,1033,9940,7.319778,56,597,3884,174968,36.028358
7,64,4,0,0.000000,0,0,6,37,2492,0.363203,1,6,37,2492,0.363203
7,64,4,8,0.125000,8,10,12,469,3532,2.884008,3,28,559,9252,3.795718
7,64,4,16,0.250000,16,18,18,517,4380,3.264380,7,57,751,20268,5.618969
7,64,4,24,0.375000,24,25,26,573,5308,3.784918,20,178,1428,58240,12.315947
7,64,4,32,0.500000,32,35,35,633,6452,4.323546,25,260,1845,77612,16.459957
7,64,4,48,0.750000,48,49,49,737,8228,5.197166,36,375,2496,111832,22.810944
7,64,4,64,1.000000,64,63,63,841,9940,6.125418,52,516,3316,158160,30.911387
7,64,4,80,1.250000,64,63,63,889,9940,6.454259,55,561,3583,168876,33.390415
7,64,4,96,1.500000,64,63,63,937,9940,6.901974,55,561,3631,168876,33.833008
7,64,4,112,1.750000,64,63,63,985,9940,7.130312,55,561,3679,168876,34.108136
7,64,4,128,2.000000,64,63,63,1033,9940,7.388111,55,561,3727,168876,34.397330
8,64,4,0,0.000000,0,0,6,37,2492,0.367632,1,6,37,2492,0.367632
8,64,4,8,0.125000,8,9,12,469,3500,2.875737,5,39,629,14020,4.485692
8,64,4,16,0.250000,16,17,19,521,4404,3.338673,8,73,828,23896,6.407088
8,64,4,24,0.375000,24,27,27,577,5524,3.793778,16,176,1368,51008,11.718374
8,64,4,32,0.500000,32,34,35,633,6484,4.309606,22,246,1750,70584,15.540994
8,64,4,48,0.750000,48,47,48,733,8076,5.159414,45,383,2645,128740,24.221551
8,64,4,64,1.000000,64,63,63,841,9940,6.126697,60,694,4132,193696,39.098699
8,64,4,80,1.250000,64,63,63,889,9940,6.398517,55,525,3439,164556,31.926674
8,64,4,96,1.500000,64,63,63,937,9940,6.742828,55,525,3487,164556,32.261460
8,64,4,112,1.750000,64,63,63,985,9940,7.007968,55,525,3535,164556,32.532151
8,64,4,128,2.000000,64,63,63,1033,9940,7.435222,55,525,3583,164556,33.001192
9,64,4,0,0.000000,0,0,6,37,2492,0.367973,1,6,37,2492,0.367973
9,64,4,8,0.125000,8,7,12,469,3340,2.859717,4,38,612,12064,4.299676
9,64,4,16,0.250000,16,16,17,513,4324,3.199649,11,105,995,33180,8.040693
9,64,4,24,0.375000,24,25,25,569,5348,3.750967,18,164,1346,53144,11.525711
9,64,4,32,0.500000,32,34,34,629,6428,4.261524,26,282,1946,82024,17.460510
9,64,4,48,0.750000,48,47,47,729,8020,5.168555,33,333,2289,101476,20.794325
9,64,4,64,1.000000,64,63,63,841,9940,6.070835,53,460,3105,153212,28.714815
9,64,4,80,1.250000,64,63,63,889,9940,6.419037,49,518,3333,153084,30.900450
9,64,4,96,1.500000,64,63,63,937,9940,6.733528,49,518,3381,153084,31.228491
9,64,4,112,1.750000,64,63,63,985,9940,7.090631,49,518,3429,153084,31.604261
9,64,4,128,2.000000,64,63,63,1033,9940,7.434702,49,518,3477,153084,31.931158
10,64,4,0,0.000000,0,0,6,37,2492,0.363072,1,6,37,2492,0.363072
10,64,4,8,0.125000,8,8,11,465,3348,2.828246,5,43,645,14436,4.627046
10,64,4,16,0.250000,16,16,16,509,4236,3.195289,11,101,979,32668,7.905908
10,64,4,24,0.375000,24,27,27,577,5524,3.813069,18,157,1318,52368,11.234399
10,64,4,32,0.500000,32,35,36,637,6572,4.364808,25,241,1769,75364,15.702191
10,64,4,48,0.750000,48,48,49,737,8164,5.191236,41,379,2577,121172,23.574941
10,64,4,64,1.000000,64,63,63,841,9940,6.138178,58,584,3666,176952,34.350533
