iteration,group_size,partitions,total_updates,avg_updates_per_member,distinct_updaters,conflicts_after_merge,first_secrets,first_crypto,first_bytes,first_ms,recovery_steps,recovery_secrets,recovery_crypto,recovery_bytes,recovery_ms
14,8,4,4,0.500000,4,4,5,90,1824,0.465046,3,13,142,4976,0.946752
14,8,4,8,1.000000,8,7,7,110,2224,0.580499,6,26,236,10016,1.733868
14,8,4,12,1.500000,8,7,7,122,2224,0.629932,6,24,240,9776,1.710047
14,8,4,16,2.000000,8,7,7,134,2224,0.690263,6,24,252,9776,1.765629
0,16,4,0,0.000000,0,0,4,27,1780,0.252529,1,4,27,1780,0.252529
0,16,4,8,0.500000,8,8,8,163,2580,0.882650,5,29,291,10524,2.094251
0,16,4,16,1.000000,16,15,15,215,3516,1.280404,10,61,498,21344,3.968984
0,16,4,24,1.500000,16,15,15,239,3516,1.406347,12,94,676,27904,5.608720
0,16,4,32,2.000000,16,15,15,263,3516,1.534942,12,94,700,27904,5.743452
1,16,4,0,0.000000,0,0,4,27,1780,0.259748,1,4,27,1780,0.259748
1,16,4,8,0.500000,8,8,9,167,2700,0.863970,4,27,272,8984,1.868125
1,16,4,16,1.000000,16,15,15,215,3516,1.216531,12,79,592,26104,4.812172
1,16,4,24,1.500000,16,15,15,239,3516,1.334915,9,53,479,19084,3.616451
1,16,4,32,2.000000,16,15,15,263,3516,1.454549,9,53,503,19084,3.734818
2,16,4,0,0.000000,0,0,4,27,1780,0.254658,1,4,27,1780,0.254658
2,16,4,8,0.500000,8,9,9,167,2668,0.862589,7,43,369,14772,2.780363
2,16,4,16,1.000000,16,15,15,215,3516,1.216861,13,71,571,26444,4.589707
2,16,4,24,1.500000,16,15,15,239,3516,1.332225,12,70,580,25024,4.565125
2,16,4,32,2.000000,16,15,15,263,3516,1.453229,12,70,604,25024,4.687878
3,16,4,0,0.000000,0,0,4,27,1780,0.251149,1,4,27,1780,0.251149
3,16,4,8,0.500000,8,7,9,167,2636,0.866500,7,40,357,14380,2.663111
3,16,4,16,1.000000,16,15,15,215,3516,1.217292,10,79,570,23504,4.634467
3,16,4,24,1.500000,16,15,15,239,3516,1.338476,11,65,549,23124,4.279364
3,16,4,32,2.000000,16,15,15,263,3516,1.449889,11,65,573,23124,4.397112
4,16,4,0,0.000000,0,0,4,27,1780,0.257509,1,4,27,1780,0.257509
4,16,4,8,0.500000,8,8,8,163,2516,0.819728,5,33,307,10908,2.192275
4,16,4,16,1.000000,16,15,15,215,3516,1.220041,13,88,639,28484,5.272419
4,16,4,24,1.500000,16,15,15,239,3516,1.342005,10,67,546,22064,4.271635
4,16,4,32,2.000000,16,15,15,263,3516,1.461889,10,67,570,22064,4.393160
5,16,4,0,0.000000,0,0,4,27,1780,0.251059,1,4,27,1780,0.251059
5,16,4,8,0.500000,8,7,8,163,2548,0.818778,3,19,229,6692,1.445990
